ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,AGE_GROUP,INJ_LEVEL,ROAD_USER_TYPE_DESC
T20120000050,1/1/2012,15:00:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248600,1,0,0,1,0,1,1,5,Not at intersection,3,999,Uknown,40-49,Other injury,Bicyclists
T20120000063,1/1/2012,16:45:00,1,Collision with vehicle,1,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,39192,2,0,1,0,2,3,1,2,T intersection,2,60,Arterial Other,30-39,Serious injury,Bicyclists
T20120000096,1/2/2012,15:45:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,249283,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,22-25,Other injury,Bicyclists
T20120000124,1/3/2012,9:30:00,2,Struck Pedestrian,3,Tuesday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,248613,1,0,0,2,0,2,2,5,Not at intersection,3,60,Arterial Other,50-59,Other injury,Bicyclists
T20120000258,1/5/2012,9:09:00,1,Collision with vehicle,4,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,36645,2,0,1,0,1,2,1,2,T intersection,2,40,Arterial Other,30-39,Serious injury,Bicyclists
T20120000263,1/5/2012,8:41:00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE,1,65612,2,0,0,1,1,2,1,2,T intersection,3,70,Arterial Highway,40-49,Other injury,Bicyclists
T20120000342,1/6/2012,5:55:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),2,273227,2,0,1,0,1,2,1,5,Not at intersection,2,100,Uknown,50-59,Serious injury,Bicyclists
T20120000371,1/6/2012,12:30:00,1,Collision with vehicle,6,Friday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,248855,2,0,1,0,1,2,1,2,T intersection,2,50,Local Road,45424,Serious injury,Bicyclists
T20120000376,1/5/2012,18:50:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,248861,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,50-59,Serious injury,Bicyclists
T20120000422,1/7/2012,8:25:00,1,Collision with vehicle,6,Saturday,136,RIGHT TURN SIDESWIPE,1,354255,2,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,60-64,Serious injury,Bicyclists
T20120000434,1/7/2012,11:15:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,273237,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,18-21,Other injury,Bicyclists
T20120000460,1/5/2012,19:45:00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,2,199632,2,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120000486,1/8/2012,2:05:00,1,Collision with vehicle,1,Sunday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,3,248903,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,18-21,Other injury,Bicyclists
T20120000557,1/9/2012,9:30:00,5,collision with some other object,2,Monday,166,STRUCK OBJECT ON CARRIAGEWAY,1,249106,2,0,1,0,0,1,1,5,Not at intersection,2,60,Arterial Other,22-25,Serious injury,Bicyclists
T20120000595,1/9/2012,16:15:00,1,Collision with vehicle,2,Monday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,261266,2,0,1,0,1,2,1,1,Cross intersection,2,50,Uknown,13-15,Serious injury,Bicyclists
T20120000602,1/1/2012,1:00:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,36029,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road,30-39,Other injury,Bicyclists
T20120000610,1/9/2012,16:10:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,60128,2,1,0,1,0,2,1,1,Cross intersection,1,60,Arterial Other,40-49,Fatality,Bicyclists
T20120000615,1/8/2012,19:30:00,1,Collision with vehicle,0,Sunday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),6,273242,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120000698,1/5/2012,8:20:00,1,Collision with vehicle,5,Thursday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,251114,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,26-29,Other injury,Bicyclists
T20120000714,1/11/2012,8:10:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,44528,2,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Other,60-64,Serious injury,Bicyclists
T20120000730,1/11/2012,10:20:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,248829,2,0,0,1,1,2,1,5,Not at intersection,3,30,Local Road,45424,Other injury,Bicyclists
T20120000819,1/12/2012,8:50:00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,248878,2,0,1,0,1,2,1,2,T intersection,2,60,Local Road,26-29,Serious injury,Bicyclists
T20120000874,1/11/2012,17:30:00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,249002,2,0,0,1,1,2,2,5,Not at intersection,3,60,Local Road,26-29,Other injury,Bicyclists
T20120000939,1/13/2012,17:15:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,249286,2,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Other,26-29,Serious injury,Bicyclists
T20120000944,1/7/2012,7:05:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,37321,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other,18-21,Other injury,Bicyclists
T20120000947,1/13/2012,20:10:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),2,249011,2,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Highway,30-39,Serious injury,Bicyclists
T20120001089,1/15/2012,22:30:00,1,Collision with vehicle,1,Sunday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,3,36571,2,0,0,2,2,4,1,2,T intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120001104,1/16/2012,9:40:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,36557,2,0,0,1,3,4,1,1,Cross intersection,3,40,Arterial Other,26-29,Other injury,Bicyclists
T20120001118,1/15/2012,17:40:00,1,Collision with vehicle,1,Sunday,143,ENTERING PARKING,1,248939,2,0,1,0,1,2,2,5,Not at intersection,2,999,Local Road,50-59,Serious injury,Bicyclists
